date,gas,pressure,temperature
2026-01-01 09:00:01,55818.0,0.351555,15.5
2026-01-02 09:00:01,68665.0,0.320906,15.438
2026-01-03 09:00:01,71167.0,0.314984,15.312
2026-01-04 09:00:01,70179.0,0.307844,15.25
2026-01-05 09:00:01,69594.0,0.296242,15.125
2026-01-06 09:00:01,69667.0,0.28513299999999997,15.062
2026-01-07 09:00:01,71345.0,0.304516,15.25
2026-01-08 09:00:01,72682.0,0.295938,14.812
2026-01-09 09:00:01,69550.0,0.307594,14.75
2026-01-10 09:00:01,69758.0,0.312602,14.812
2026-01-11 09:00:01,69486.0,0.31428100000000003,14.938
2026-01-12 09:00:01,66179.0,0.30125,14.625
2026-01-13 09:00:01,70013.0,0.29428899999999997,14.625
2026-01-14 09:00:01,68992.0,0.297312,14.75
2026-01-15 09:00:01,68409.0,0.306195,14.75
2026-01-16 09:00:01,69819.0,0.297859,14.688
2026-01-17 09:00:01,71965.0,0.317672,14.688
2026-01-18 09:00:01,72669.0,0.308695,14.75
2026-01-19 09:00:01,67725.0,0.302289,14.938
2026-01-20 09:00:01,71487.0,0.290812,14.562
2026-01-21 09:00:01,71254.0,0.29129700000000003,14.438
2026-01-22 09:00:01,74676.0,0.295508,14.188
2026-01-23 09:00:01,71542.0,0.295391,14.375
2026-01-24 09:00:01,73504.0,0.300484,14.438
2026-01-25 09:00:01,75991.0,0.321945,14.312
2026-01-26 09:00:01,70166.0,0.28745299999999996,14.062
2026-01-27 09:00:01,71216.0,0.294352,14.125
2026-01-28 09:00:01,72452.0,0.293922,14.375
2026-01-29 09:00:01,74661.0,0.293344,14.438
2026-01-30 09:00:01,68136.0,0.293742,14.062
2026-01-31 09:00:01,68286.0,0.304633,14.188
2026-02-01 09:00:01,70239.0,0.301922,14.062
2026-02-02 09:00:01,68128.0,0.29014100000000004,14.188
2026-02-03 09:00:01,63971.0,0.286875,14.125
2026-02-04 09:00:01,64047.0,0.295508,14.312
2026-02-05 09:00:01,68725.0,0.285469,14.0
2026-02-06 09:00:01,67879.0,0.293164,14.25
2026-02-07 09:00:01,67880.0,0.30607,14.562
2026-02-08 09:00:01,70529.0,0.30002300000000004,14.125
2026-02-09 09:00:01,69966.0,0.30720299999999995,14.0
2026-02-10 09:00:01,66886.0,0.30560899999999996,13.938
2026-02-11 09:00:01,68486.0,0.313641,13.875
2026-02-12 09:00:01,65051.0,0.339281,13.875
2026-02-13 09:00:01,65453.0,0.32670299999999997,14.25
2026-02-14 09:00:01,63311.0,0.34456200000000003,14.25
2026-02-15 09:00:01,58299.0,0.32932799999999995,14.562
2026-02-16 09:00:01,58493.0,0.3485,14.5
2026-02-17 09:00:01,61141.0,0.35133600000000004,14.562
2026-02-18 09:00:01,63238.0,0.343008,14.625
2026-02-19 09:00:01,61150.0,0.338914,14.5
2026-02-20 09:00:01,59408.0,0.36275799999999997,14.812
2026-02-21 09:00:01,61337.0,0.347008,14.812
2026-02-22 09:00:01,60899.0,0.34563299999999997,15.125
2026-02-23 09:00:01,62842.0,0.352312,15.375
2026-02-24 09:00:01,59286.0,0.333938,15.5
2026-02-25 09:00:01,64084.0,0.337789,15.625
2026-02-26 09:00:01,64561.0,0.329727,15.875
2026-02-27 09:00:01,70761.0,0.319078,16.0
2026-02-28 09:00:01,73615.0,0.309156,15.938
2026-03-01 09:00:01,71527.0,0.32527300000000003,15.75
2026-03-02 09:00:01,73183.0,0.317609,15.938
2026-03-03 09:00:01,67807.0,0.330156,16.0
2026-03-04 09:00:01,70423.0,0.324938,15.938
2026-03-05 09:00:01,72501.0,0.319406,16.25
